Food type,methane gas level,humidity ,temperature ,spoiled or not spoiled,outcome
Dal,447,95,36.2,not spoiled ,0
Dal,447,95,36.22,not spoiled ,0
Dal,447,95,36.24,not spoiled ,0
Dal,447,95,36.26,not spoiled ,0
Dal,448,95,36.27,not spoiled ,0
Dal,448,95,36.31,not spoiled ,0
Dal,448,95,36.34,not spoiled ,0
Dal,448,95,36.35,not spoiled ,0
Dal,448,95,36.37,not spoiled ,0
Dal,448,95,36.38,not spoiled ,0
Dal,449,95,36.39,not spoiled ,0
Dal,449,95,36.4,not spoiled ,0
Dal,449,95,36.41,not spoiled ,0
Dal,449,95,36.41,not spoiled ,0
Dal,450,95,36.49,not spoiled ,0
Dal,450,95,36.51,not spoiled ,0
Dal,450,95,36.53,not spoiled ,0
Dal,451,95,36.53,spoiled,1
Dal,451,95,36.56,spoiled,1
Dal,451,95,36.57,spoiled,1
Dal,451,95,36.57,spoiled,1
Dal,451,95,36.58,spoiled,1
Dal,452,95,36.62,spoiled,1
Dal,452,95,36.63,spoiled,1
Dal,453,95,36.64,spoiled,1
Dal,453,95,36.66,spoiled,1
Dal,453,95,36.66,spoiled,1
Dal,453,95,36.67,spoiled,1
Dal,453,95,36.67,spoiled,1
Dal,454,95,36.67,spoiled,1
Dal,454,95,36.68,spoiled,1
Dal,454,95,36.71,spoiled,1
Dal,454,95,36.75,spoiled,1
Dal,454,95,36.75,spoiled,1
Dal,454,95,36.75,spoiled,1
Dal,454,95,36.76,spoiled,1
Dal,455,95,36.78,spoiled,1
Dal,455,95,36.78,spoiled,1
Dal,455,95,36.78,spoiled,1
Dal,455,95,36.79,spoiled,1
Dal,455,95,36.8,spoiled,1
Dal,455,95,36.81,spoiled,1
Dal,456,95,36.84,spoiled,1
Dal,456,95,36.87,spoiled,1
Dal,456,95,36.89,spoiled,1
Dal,457,95,36.91,spoiled,1
Dal,457,95,36.92,spoiled,1
Dal,457,95,36.94,spoiled,1
Dal,457,95,36.96,spoiled,1
Dal,457,95,36.98,spoiled,1
Dal,458,95,36.98,spoiled,1
Dal,458,95,37.01,spoiled,1
Dal,458,95,37.02,spoiled,1
Dal,458,95,37.02,spoiled,1
Dal,458,95,37.04,spoiled,1
Dal,458,95,37.04,spoiled,1
Dal,458,95,37.06,spoiled,1
Dal,459,95,37.06,spoiled,1
Dal,459,95,37.1,spoiled,1
Dal,460,95,37.12,spoiled,1
Dal,460,95,37.14,spoiled,1
Dal,460,95,37.16,spoiled,1
Dal,460,95,37.18,spoiled,1
Dal,460,95,37.18,spoiled,1
Dal,461,95,37.18,spoiled,1
Dal,461,95,37.21,spoiled,1
Dal,462,95,37.22,spoiled,1
Dal,462,95,37.25,spoiled,1
Dal,462,95,37.27,spoiled,1
Dal,462,95,37.29,spoiled,1
Dal,462,95,37.3,spoiled,1
Dal,462,95,37.33,spoiled,1
Dal,463,95,37.34,spoiled,1
Dal,463,95,37.35,spoiled,1
Dal,463,95,37.36,spoiled,1
Dal,464,95,37.37,spoiled,1
Dal,465,95,37.42,spoiled,1
Dal,466,95,37.44,spoiled,1
Dal,467,95,37.45,spoiled,1
Dal,467,95,37.49,spoiled,1
Dal,467,95,37.52,spoiled,1
Dal,467,95,37.52,spoiled,1
Dal,468,95,37.52,spoiled,1
Dal,468,95,37.54,spoiled,1
Dal,468,95,37.55,spoiled,1
Dal,468,95,37.59,spoiled,1
Dal,468,95,37.61,spoiled,1
Dal,469,95,37.62,spoiled,1
Dal,469,95,37.66,spoiled,1
Dal,469,95,37.67,spoiled,1
Dal,469,95,37.67,spoiled,1
Dal,469,95,37.69,spoiled,1
Dal,469,95,37.7,spoiled,1
Dal,470,95,37.72,spoiled,1
Dal,470,95,37.73,spoiled,1
Dal,470,95,37.73,spoiled,1
Dal,470,95,37.73,spoiled,1
Dal,470,95,37.73,spoiled,1
Dal,471,95,37.75,spoiled,1
Dal,472,95,37.77,spoiled,1
Dal,472,95,37.78,spoiled,1
Dal,473,95,37.79,spoiled,1
Dal,473,95,37.81,spoiled,1
Dal,473,95,37.82,spoiled,1
Dal,473,95,37.83,spoiled,1
Dal,473,95,37.83,spoiled,1
Dal,473,95,37.84,spoiled,1
Dal,473,95,37.88,spoiled,1
Dal,473,95,37.92,spoiled,1
Dal,473,95,37.93,spoiled,1
Dal,474,95,37.93,spoiled,1
Dal,474,95,37.94,spoiled,1
