Food type,Methane gas level,Humidity,temperature ,spoiled or not spoiled ,outcome
cooked rice,445,96,35.1,not spoiled,0
cooked rice,445,96,35.11,not spoiled,0
cooked rice,445,96,35.12,not spoiled,0
cooked rice,445,96,35.13,not spoiled,0
cooked rice,446,96,35.13,not spoiled,0
cooked rice,446,96,35.14,not spoiled,0
cooked rice,447,96,35.15,not spoiled,0
cooked rice,447,96,35.15,not spoiled,0
cooked rice,447,96,35.18,not spoiled,0
cooked rice,447,96,35.2,not spoiled,0
cooked rice,448,96,35.21,not spoiled,0
cooked rice,448,96,35.22,not spoiled,0
cooked rice,449,96,35.23,not spoiled,0
cooked rice,449,96,35.23,not spoiled,0
cooked rice,449,96,35.28,not spoiled,0
cooked rice,449,96,35.29,not spoiled,0
cooked rice,450,96,35.29,spolied ,1
cooked rice,451,96,35.29,spolied ,1
cooked rice,451,96,35.29,spolied ,1
cooked rice,452,96,35.31,spolied ,1
cooked rice,452,96,35.31,spolied ,1
cooked rice,452,96,35.32,spolied ,1
cooked rice,452,96,35.33,spolied ,1
cooked rice,453,96,35.34,spolied ,1
cooked rice,454,96,35.35,spolied ,1
cooked rice,455,96,35.35,spolied ,1
cooked rice,455,96,35.42,spolied ,1
cooked rice,457,96,35.42,spolied ,1
cooked rice,457,96,35.44,spolied ,1
cooked rice,458,96,35.46,spolied ,1
cooked rice,458,96,35.47,spolied ,1
cooked rice,458,96,35.47,spolied ,1
cooked rice,458,96,35.47,spolied ,1
cooked rice,459,96,35.48,spolied ,1
cooked rice,459,96,35.5,spolied ,1
cooked rice,460,96,35.5,spolied ,1
cooked rice,461,96,35.5,spolied ,1
cooked rice,462,96,35.51,spolied ,1
cooked rice,462,96,35.53,spolied ,1
cooked rice,462,96,35.54,spolied ,1
cooked rice,464,96,35.59,spolied ,1
cooked rice,464,96,35.6,spolied ,1
cooked rice,465,96,35.62,spolied ,1
cooked rice,466,96,35.64,spolied ,1
cooked rice,467,96,35.65,spolied ,1
cooked rice,467,96,35.68,spolied ,1
cooked rice,468,96,35.68,spolied ,1
cooked rice,468,96,35.69,spolied ,1
cooked rice,468,96,35.72,spolied ,1
cooked rice,469,96,35.73,spolied ,1
cooked rice,470,96,35.74,spolied ,1
cooked rice,471,96,35.76,spolied ,1
cooked rice,472,96,35.76,spolied ,1
cooked rice,473,96,35.77,spolied ,1
cooked rice,474,96,35.78,spolied ,1
cooked rice,474,96,35.8,spolied ,1
cooked rice,474,96,35.84,spolied ,1
cooked rice,474,96,35.84,spolied ,1
cooked rice,474,96,35.85,spolied ,1
cooked rice,475,96,35.86,spolied ,1
cooked rice,475,96,35.88,spolied ,1
cooked rice,475,96,35.89,spolied ,1
cooked rice,476,96,35.9,spolied ,1
cooked rice,476,97,35.9,spolied ,1
cooked rice,476,97,35.91,spolied ,1
cooked rice,477,97,35.93,spolied ,1
cooked rice,477,97,35.95,spolied ,1
cooked rice,477,97,35.96,spolied ,1
cooked rice,482,97,35.97,spolied ,1
cooked rice,482,97,35.98,spolied ,1
cooked rice,483,97,36.03,spolied ,1
cooked rice,483,97,36.04,spolied ,1
cooked rice,483,97,36.04,spolied ,1
cooked rice,483,97,36.05,spolied ,1
cooked rice,484,97,36.06,spolied ,1
cooked rice,484,97,36.06,spolied ,1
cooked rice,485,97,36.08,spolied ,1
cooked rice,486,97,36.1,spolied ,1
cooked rice,486,97,36.1,spolied ,1
cooked rice,486,97,36.11,spolied ,1
cooked rice,486,97,36.14,spolied ,1
cooked rice,486,97,36.16,spolied ,1
cooked rice,487,97,36.17,spolied ,1
cooked rice,487,97,36.17,spolied ,1
cooked rice,487,97,36.2,spolied ,1
cooked rice,487,97,36.22,spolied ,1
cooked rice,488,97,36.22,spolied ,1
cooked rice,488,97,36.23,spolied ,1
cooked rice,488,97,36.23,spolied ,1
cooked rice,488,97,36.24,spolied ,1
cooked rice,489,97,36.25,spolied ,1
cooked rice,489,97,36.27,spolied ,1
cooked rice,489,97,36.3,spolied ,1
cooked rice,490,97,36.3,spolied ,1
cooked rice,490,97,36.3,spolied ,1
cooked rice,491,97,36.31,spolied ,1
cooked rice,492,97,36.33,spolied ,1
cooked rice,492,97,36.33,spolied ,1
cooked rice,494,97,36.34,spolied ,1
cooked rice,494,97,36.35,spolied ,1
cooked rice,494,97,36.36,spolied ,1
cooked rice,495,97,36.37,spolied ,1
cooked rice,495,97,36.37,spolied ,1
cooked rice,496,97,36.37,spolied ,1
cooked rice,496,97,36.39,spolied ,1
cooked rice,496,97,36.4,spolied ,1
cooked rice,497,97,36.41,spolied ,1
cooked rice,497,97,36.43,spolied ,1
cooked rice,498,97,36.43,spolied ,1
cooked rice,499,97,36.44,spolied ,1
